"subgroup","n_Control","n_NWSH","mean_Control","mean_NWSH","sd_Control","sd_NWSH","RD","SE","ci.lb","ci.ub","z","P-value","int_Pval","Y","V"
"0",121,208,-0.318364057808731,-0.16164092003443,0.594445147769316,0.633144653208592,0.2272,0.0804,0.0696,0.3848,2.8259,0.0047,0.0476452943253506,"d23_ratio_th1_th2","diar7d_t2"
"1",30,25,-0.178375673778446,-0.0119313816632303,0.593809521322119,0.442411460983854,0.3445,0.1293,0.091,0.598,2.6634,0.0077,NA,"d23_ratio_th1_th2","diar7d_t2"
"0",138,216,-0.282659193483791,-0.154423317688121,0.606935786173012,0.626599981542037,0.1855,0.076,0.0366,0.3345,2.4417,0.0146,0.0519300421406092,"d23_ratio_th1_th2","diar7d_t3"
"1",13,17,-0.374334808265129,-0.033185840476946,0.459519906134155,0.469816719322167,0.312,0.1294,0.0585,0.5655,2.4121,0.0159,NA,"d23_ratio_th1_th2","diar7d_t3"
"0",101,162,-0.315364924447225,-0.191026819392845,0.638124437850405,0.650802374477,0.187,0.0871,0.0163,0.3577,2.147,0.0318,0.0425386102207777,"d23_ratio_th1_th2","fever7d_t2"
"1",50,71,-0.240429276780801,-0.0418767770014259,0.498825341763244,0.519471037200309,0.3142,0.1448,0.0303,0.5981,2.169,0.0301,NA,"d23_ratio_th1_th2","fever7d_t2"
"0",121,184,-0.282437573668569,-0.118645414274869,0.643136509330856,0.59376571248654,0.2294,0.0837,0.0654,0.3934,2.7413,0.0061,0.0270048099942247,"d23_ratio_th1_th2","fever7d_t3"
"1",30,49,-0.323279159810431,-0.246711013921763,0.343688906481961,0.692602454738338,0.3631,0.1438,0.0812,0.645,2.5244,0.0116,NA,"d23_ratio_th1_th2","fever7d_t3"
"0",107,164,-0.265149588251125,-0.142997337187839,0.638488584398192,0.641858758799465,0.1816,0.0938,-0.0023,0.3655,1.9355,0.0529,0.168162529208208,"d23_ratio_th1_th2","ch_pos_giardia"
"1",39,61,-0.319839396030166,-0.142198083422127,0.436496839756428,0.588094088287259,0.2189,0.0965,0.0298,0.408,2.2684,0.0233,NA,"d23_ratio_th1_th2","ch_pos_giardia"
"0",146,224,-0.27975850950717,-0.142303556064786,0.590373245823957,0.627804953836764,0.1915,0.0767,0.0411,0.3419,2.4955,0.0126,0.168039981618449,"d23_ratio_th1_th2","ch_pos_entamoeba"
"1",NA,1,NA,-0.249649829043127,NA,NA,0.3248,0.1295,0.071,0.5787,2.5081,0.0121,NA,"d23_ratio_th1_th2","ch_pos_entamoeba"
"0",143,222,-0.286165766166313,-0.139418288790934,0.586042180881435,0.625936214379338,0.2029,0.0755,0.0549,0.3508,2.6876,0.0072,0.174725439785859,"d23_ratio_th1_th2","ch_pos_crypto"
"1",3,3,0.0256540579120024,-0.391595425322638,0.861228575347316,0.751431394530717,-0.4521,0.4353,-1.3053,0.4011,-1.0386,0.299,NA,"d23_ratio_th1_th2","ch_pos_crypto"
"0",43,NA,-0.433674321027635,NA,0.852662697129877,NA,0.1529,0.0701,0.0155,0.2903,2.1804,0.0292,0.141667760367762,"d23_ratio_th1_th2","ch_qpcr_pos_trichuris"
"1",2,NA,-0.187633814578939,NA,0.816150655118538,NA,0.1537,0.1006,-0.0435,0.3509,1.5274,0.1267,NA,"d23_ratio_th1_th2","ch_qpcr_pos_trichuris"
"0",38,NA,-0.466440335601808,NA,0.88742424100147,NA,0.1522,0.07,0.015,0.2894,2.1743,0.0297,0.167127652029104,"d23_ratio_th1_th2","ch_qpcr_pos_ascaris"
"1",7,NA,-0.185504382925353,NA,0.534223212447745,NA,0.1541,0.101,-0.0438,0.3519,1.526,0.127,NA,"d23_ratio_th1_th2","ch_qpcr_pos_ascaris"
"0",122,209,-0.109246900819672,0.106572184210526,0.610737582876083,0.799391493336297,0.2582,0.0891,0.0836,0.4329,2.8984,0.0038,0.340187969617322,"d23_ratio_il12_il4","diar7d_t2"
