"subgroup","n_Control","n_NWSH","mean_Control","mean_NWSH","sd_Control","sd_NWSH","RD","SE","ci.lb","ci.ub","z","P-value","int_Pval","Y","V"
"0",138,216,0.346563879527446,0.140635558488246,0.360028863204739,0.453301800002644,-0.2032,0.0516,-0.3044,-0.102,-3.9359,0.0001,0.181567431386239,"t2_ratio_th1_th2","diar7d_t2"
"1",31,31,0.0554432893997115,0.0403751866454844,0.57325376563021,0.37053514144481,-0.1836,0.0552,-0.2919,-0.0754,-3.3248,0.0009,NA,"t2_ratio_th1_th2","diar7d_t2"
"0",114,168,0.323079762467471,0.113386208865853,0.38340358305901,0.452861657370164,-0.2142,0.0516,-0.3154,-0.113,-4.15,0,0.131057374048528,"t2_ratio_th1_th2","fever7d_t2"
"1",55,79,0.231153898634306,0.159240864936809,0.487580573286914,0.426797581310754,-0.1901,0.0547,-0.2973,-0.0829,-3.475,0.0005,NA,"t2_ratio_th1_th2","fever7d_t2"
"0",120,176,0.275816389785302,0.137566112657957,0.4463919904004,0.443167013532489,-0.1367,0.0545,-0.2435,-0.03,-2.5101,0.0121,0.283678573861977,"t2_ratio_th1_th2","ch_pos_giardia"
"1",44,62,0.313411492906459,0.0702200486781644,0.322640009748884,0.458816710540827,-0.2265,0.0802,-0.3837,-0.0693,-2.8238,0.0047,NA,"t2_ratio_th1_th2","ch_pos_giardia"
"0",164,237,0.285902880866588,0.119258849847463,0.41619285558946,0.448093110837499,-0.1607,0.0461,-0.251,-0.0704,-3.4885,0.0005,0.269451095854057,"t2_ratio_th1_th2","ch_pos_entamoeba"
"1",NA,1,NA,0.300931431997798,NA,NA,-0.1334,0.0509,-0.2332,-0.0335,-2.6181,0.0088,NA,"t2_ratio_th1_th2","ch_pos_entamoeba"
"0",160,235,0.291388556971685,0.119452500309538,0.414766447295468,0.447908148988038,-0.1663,0.0456,-0.2557,-0.0769,-3.6453,0.0003,0.273815754993772,"t2_ratio_th1_th2","ch_pos_crypto"
"1",4,3,0.0664758366627192,0.164647091035016,0.47746515052757,0.483306633962886,0.1121,0.3121,-0.4996,0.7238,0.3593,0.7194,NA,"t2_ratio_th1_th2","ch_pos_crypto"
