"subgroup","RD","SE","ci.lb","ci.ub","z","P-value","int_Pval","Y","V"
"0",-0.0171,0.0527,-0.1203,0.0861,-0.324,0.746,0.322765742021485,"t3_ln_igf","diar7d_t2"
"1",-0.0037,0.0578,-0.1169,0.1096,-0.0632,0.9496,NA,"t3_ln_igf","diar7d_t2"
"0",-0.0364,0.0458,-0.1261,0.0533,-0.7943,0.427,0.25834981059537,"t3_ln_igf","diar7d_t3"
"1",-0.0236,0.0505,-0.1226,0.0753,-0.4684,0.6395,NA,"t3_ln_igf","diar7d_t3"
"0",0.0067,0.0535,-0.0981,0.1115,0.1248,0.9007,0.316126978473653,"t3_ln_igf","fever7d_t2"
"1",0.0214,0.0584,-0.0931,0.1359,0.366,0.7143,NA,"t3_ln_igf","fever7d_t2"
"0",-0.0199,0.0527,-0.1232,0.0833,-0.3787,0.7049,0.186785042032923,"t3_ln_igf","fever7d_t3"
"1",-0.0046,0.058,-0.1182,0.109,-0.0798,0.9364,NA,"t3_ln_igf","fever7d_t3"
"0",0.01,0.0556,-0.0989,0.119,0.1806,0.8567,0.386286466882819,"t3_ln_igf","ch_pos_giardia"
"1",-0.0986,0.1011,-0.2968,0.0995,-0.9758,0.3292,NA,"t3_ln_igf","ch_pos_giardia"
"0",-0.0184,0.0494,-0.1153,0.0785,-0.3715,0.7103,0.37657220829226,"t3_ln_igf","ch_pos_entamoeba"
"1",-0.0046,0.0547,-0.1117,0.1026,-0.0833,0.9336,NA,"t3_ln_igf","ch_pos_entamoeba"
"0",-0.0207,0.0495,-0.1177,0.0763,-0.4184,0.6756,0.39761324693002,"t3_ln_igf","ch_pos_crypto"
"1",0.0673,0.3293,-0.5781,0.7127,0.2043,0.8381,NA,"t3_ln_igf","ch_pos_crypto"
"0",-0.0336,0.0584,-0.148,0.0808,-0.5758,0.5647,0.816936510916376,"t3_ln_igf","ch_qpcr_pos_trichuris"
"1",-0.0111,0.0614,-0.1314,0.1092,-0.1812,0.8562,NA,"t3_ln_igf","ch_qpcr_pos_trichuris"
"0",-0.0242,0.0583,-0.1385,0.0901,-0.4146,0.6785,0.50270452922994,"t3_ln_igf","ch_qpcr_pos_ascaris"
"1",-0.0013,0.0614,-0.1216,0.119,-0.0215,0.9829,NA,"t3_ln_igf","ch_qpcr_pos_ascaris"
"0",0.1116,0.1386,-0.1601,0.3833,0.8048,0.4209,0.0150263401149951,"t3_ln_crp","diar7d_t2"
"1",-0.1902,0.2789,-0.7369,0.3566,-0.6818,0.4954,NA,"t3_ln_crp","diar7d_t2"
"0",0.104,0.1325,-0.1557,0.3637,0.7852,0.4323,0.0159827037113017,"t3_ln_crp","diar7d_t3"
"1",-0.1703,0.2793,-0.7178,0.3771,-0.6099,0.542,NA,"t3_ln_crp","diar7d_t3"
"0",0.1764,0.1627,-0.1426,0.4953,1.0837,0.2785,0.0180242829926842,"t3_ln_crp","fever7d_t2"
"1",-0.1093,0.2954,-0.6883,0.4697,-0.3701,0.7113,NA,"t3_ln_crp","fever7d_t2"
"0",-0.0695,0.1554,-0.3742,0.2352,-0.4472,0.6547,0.0188311617323877,"t3_ln_crp","fever7d_t3"
"1",-0.2777,0.2553,-0.7781,0.2227,-1.0878,0.2767,NA,"t3_ln_crp","fever7d_t3"
"0",0.0797,0.1735,-0.2603,0.4197,0.4594,0.646,0.61841926201264,"t3_ln_crp","ch_pos_giardia"
"1",0.2592,0.2442,-0.2195,0.7379,1.0614,0.2885,NA,"t3_ln_crp","ch_pos_giardia"
"0",0.1222,0.132,-0.1366,0.3809,0.9254,0.3547,0.604191622401447,"t3_ln_crp","ch_pos_entamoeba"
"1",-0.1007,0.2768,-0.6431,0.4418,-0.3638,0.716,NA,"t3_ln_crp","ch_pos_entamoeba"
"0",0.1304,0.1311,-0.1266,0.3874,0.9943,0.3201,0.582582984445602,"t3_ln_crp","ch_pos_crypto"
"1",0.1097,0.5052,-0.8804,1.0998,0.2171,0.8281,NA,"t3_ln_crp","ch_pos_crypto"
"0",-0.1051,0.1512,-0.4014,0.1913,-0.6948,0.4872,0.00142445396156921,"t3_ln_crp","ch_qpcr_pos_trichuris"
"1",-0.1635,0.2474,-0.6485,0.3214,-0.6609,0.5087,NA,"t3_ln_crp","ch_qpcr_pos_trichuris"
"0",-0.1039,0.1515,-0.4009,0.1931,-0.6857,0.4929,0.000343765875947766,"t3_ln_crp","ch_qpcr_pos_ascaris"
"1",-0.1478,0.2464,-0.6307,0.3352,-0.5997,0.5487,NA,"t3_ln_crp","ch_qpcr_pos_ascaris"
"0",0.0773,0.079,-0.0774,0.2321,0.9795,0.3273,0.0674151387816464,"t3_ln_agp","diar7d_t2"
"1",0.0696,0.0793,-0.0858,0.225,0.8783,0.3798,NA,"t3_ln_agp","diar7d_t2"
"0",0.0155,0.0616,-0.1054,0.1363,0.2508,0.802,0.0669377107601228,"t3_ln_agp","diar7d_t3"
"1",0.0067,0.0619,-0.1146,0.128,0.1083,0.9137,NA,"t3_ln_agp","diar7d_t3"
"0",-0.0248,0.086,-0.1934,0.1438,-0.2886,0.7729,0.0758729761352736,"t3_ln_agp","fever7d_t2"
"1",-0.0336,0.0866,-0.2034,0.1362,-0.3879,0.6981,NA,"t3_ln_agp","fever7d_t2"
"0",0.0203,0.0698,-0.1165,0.1572,0.2915,0.7707,0.0263332036332746,"t3_ln_agp","fever7d_t3"
"1",0.0154,0.0695,-0.1208,0.1516,0.2213,0.8249,NA,"t3_ln_agp","fever7d_t3"
"0",0.0591,0.0624,-0.0633,0.1815,0.9466,0.3438,0.978347225379089,"t3_ln_agp","ch_pos_giardia"
"1",0.0043,0.1428,-0.2756,0.2842,0.0298,0.9762,NA,"t3_ln_agp","ch_pos_giardia"
"0",0.0397,0.0655,-0.0888,0.1682,0.6057,0.5447,0.884454882985618,"t3_ln_agp","ch_pos_entamoeba"
"1",0.0315,0.0658,-0.0975,0.1605,0.4787,0.6322,NA,"t3_ln_agp","ch_pos_entamoeba"
"0",0.0415,0.0655,-0.0868,0.1698,0.634,0.5261,0.881840478669662,"t3_ln_agp","ch_pos_crypto"
"1",-0.0499,0.2565,-0.5526,0.4529,-0.1945,0.8458,NA,"t3_ln_agp","ch_pos_crypto"
"0",0.0264,0.0743,-0.1193,0.172,0.3549,0.7226,0.922230498692368,"t3_ln_agp","ch_qpcr_pos_trichuris"
"1",-0.2739,0.1396,-0.5476,-0.0002,-1.9617,0.0498,NA,"t3_ln_agp","ch_qpcr_pos_trichuris"
"0",0.0294,0.0756,-0.1188,0.1775,0.3885,0.6976,0.00198283010410874,"t3_ln_agp","ch_qpcr_pos_ascaris"
