"","type","est","ci.lb","ci.ub","pval","Y","Z"
"1","TE",0.534,-0.127121998209483,0.0718377225270047,0.534,"any_pathogen","t2_ratio_tnf_il10"
"2","ACME",-0.00045194525143092,-0.0143995033798678,0.0129572487455177,0.928,"any_pathogen","t2_ratio_tnf_il10"
"3","ADE",-0.028217507449562,-0.130811673397001,0.0733658544246226,0.556,"any_pathogen","t2_ratio_tnf_il10"
"4","Prop",0.0158370499143847,-2.10146569193066,1.25094812935582,0.99,"any_pathogen","t2_ratio_tnf_il10"
"5","TE",0.402,-0.132499621764023,0.0496742667813896,0.402,"ch_pos_ascaris","t2_ratio_tnf_il10"
"6","ACME",0.0010375065619615,-0.0112030815895313,0.012164387278698,0.882,"ch_pos_ascaris","t2_ratio_tnf_il10"
"7","ADE",-0.0407082808478825,-0.13019430994379,0.0487373451586987,0.402,"ch_pos_ascaris","t2_ratio_tnf_il10"
"8","Prop",-0.0287353550507781,-1.18464351435614,0.803391242406468,0.952,"ch_pos_ascaris","t2_ratio_tnf_il10"
"9","TE",0.29,-0.0237810082375035,0.0682851022300156,0.29,"ch_pos_trichuris","t2_ratio_tnf_il10"
"10","ACME",0.00291709501728019,-0.0036885798354876,0.0103525624347579,0.334,"ch_pos_trichuris","t2_ratio_tnf_il10"
"11","ADE",0.0193623004567823,-0.0248377912122796,0.0625109631400326,0.348,"ch_pos_trichuris","t2_ratio_tnf_il10"
"12","Prop",0.0912332020371599,-0.755740062902168,1.16207032579718,0.5,"ch_pos_trichuris","t2_ratio_tnf_il10"
"13","TE",0.944,-0.0853819721492975,0.0860235233930711,0.944,"ch_pos_giardia","t2_ratio_tnf_il10"
"14","ACME",-0.00173980341220325,-0.0145390303493028,0.010256374467978,0.802,"ch_pos_giardia","t2_ratio_tnf_il10"
"15","ADE",-0.00098615784248646,-0.0851866238926007,0.0829145750774473,0.966,"ch_pos_giardia","t2_ratio_tnf_il10"
"16","Prop",0.639735265320303,-1.63438017512233,1.81893178791137,0.974,"ch_pos_giardia","t2_ratio_tnf_il10"
"17","TE",0.612,-0.120567671827286,0.063703459635178,0.612,"any_pathogen","t2_ratio_il17_il10"
"18","ACME",-0.00579245400156532,-0.0221595041506842,0.0114424513492371,0.476,"any_pathogen","t2_ratio_il17_il10"
"19","ADE",-0.0228964341700954,-0.10985659749045,0.0677160012157626,0.692,"any_pathogen","t2_ratio_il17_il10"
"20","Prop",0.202684334309183,-2.65175977645521,2.25589157116024,0.784,"any_pathogen","t2_ratio_il17_il10"
"21","TE",0.378,-0.125020718204437,0.0482800965906185,0.378,"ch_pos_ascaris","t2_ratio_il17_il10"
"22","ACME",0.00132404060421418,-0.0134029314074875,0.0142274527292528,0.884,"ch_pos_ascaris","t2_ratio_il17_il10"
"23","ADE",-0.0410001549413619,-0.126829429857339,0.0478992265400169,0.388,"ch_pos_ascaris","t2_ratio_il17_il10"
"24","Prop",-0.0366924045060178,-1.15535057463365,1.1150228171103,0.966,"ch_pos_ascaris","t2_ratio_il17_il10"
"25","TE",0.324,-0.0210476891918517,0.0610530736377398,0.324,"ch_pos_trichuris","t2_ratio_il17_il10"
"26","ACME",0.00133260946504586,-0.00880165699512866,0.00948011713831679,0.812,"ch_pos_trichuris","t2_ratio_il17_il10"
