"","Outcome, Arm","N","Absolute Mean","Absolute SD","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","P-value","Fully adjusted difference: Intervention vs. Control (95% CI)","P-value"
"1","Ln IL-1Ã<U+008E>Â²/IL-10"," "," "," "," "," "," ","1"," ","1"
"2","Control","284","0.13","0.24","-2.5","0.9"," ","1"," ","1"
"3","Nutrition + WSH","308","0.14","0.37","-2.52","1.07","-0.02 (-0.23, 0.19)","0.04","-0.04 (-0.26, 0.18)","0.08"
"4","Ln IL-6/IL-10"," "," "," "," "," "," ","0"," ","0"
"5","Control","284","0.39","1.16","-1.52","0.78"," ","0.1"," ","0.26"
"6","Nutrition + WSH","308","0.51","1.95","-1.47","0.94","0.05 (-0.12, 0.22)","1","0.01 (-0.16, 0.18)","1"
"7","Ln TNF-Ã<U+008E>Â±/IL-10"," "," "," "," "," "," ","0.52"," ","0.62"
"8","Control","284","1.04","3.02","-0.41","0.69"," ","1"," ","1"
"9","Nutrition + WSH","310","0.77","1","-0.53","0.66","-0.12 (-0.23, -0.02)","0.04","-0.11 (-0.22, 0)","0.02"
"10","Ln IL-12/IL-10"," "," "," "," "," "," ","1"," ","0.94"
"11","Control","284","0.38","0.67","-1.24","0.56"," ","1"," ","0.8"
"12","Nutrition + WSH","309","0.3","0.35","-1.44","0.7","-0.19 (-0.31, -0.08)","0.14","-0.2 (-0.31, -0.08)","0.3"
"13","Ln IFN-Ã<U+008E>Â³/IL-10"," "," "," "," "," "," ","0"," ","0"
"14","Control","284","1.11","2.08","-0.19","0.57"," ","0.06"," ","0.26"
"15","Nutrition + WSH","310","0.96","1.76","-0.3","0.6","-0.11 (-0.22, 0)","0","-0.08 (-0.19, 0.03)","0"
"16","Ln IL-4/IL-10"," "," "," "," "," "," ","0"," ","0.08"
"17","Control","284","8.02","21.37","1.64","0.69"," ","0.02"," ","0.02"
"18","Nutrition + WSH","309","7.19","12.75","1.63","0.69","0 (-0.14, 0.13)","0.16","-0.01 (-0.14, 0.13)","0.18"
"19","Ln IL-5/IL-10"," "," "," "," "," "," ","1"," ","1"
"20","Control","284","0.28","0.72","-1.74","0.75"," ","0.74"," ","0.38"
"21","Nutrition + WSH","310","0.31","0.77","-1.67","0.77","0.07 (-0.05, 0.2)","0.18","0.06 (-0.06, 0.19)","0.74"
"22","Ln IL-13/IL-10"," "," "," "," "," "," ","0.66"," ","1"
"23","Control","284","1","2.36","-0.63","0.94"," ","0.04"," ","0.08"
"24","Nutrition + WSH","308","0.83","0.89","-0.61","1","0.02 (-0.17, 0.22)","0.1","0.04 (-0.16, 0.24)","0.26"
"25","Ln IL-17A/IL-10"," "," "," "," "," "," ","1"," ","1"
"26","Control","284","0.78","1.95","-0.62","0.63"," ","1"," ","0.94"
"27","Nutrition + WSH","310","0.59","1.01","-0.78","0.67","-0.16 (-0.29, -0.03)","0.16","-0.2 (-0.34, -0.06)","0.18"
"28","Ln IL-21/IL-10"," "," "," "," "," "," ","0.66"," ","1"
"29","Control","281","0.3","0.68","-1.86","1.05"," ","1"," ","1"
