""," "," "," "," "," "," ","Unadjusted difference: Intervention vs. Control"," ","Fully adjusted difference: Intervention vs. Control"," "
"1","Outcome, Arm","N","Absolute Mean","Absolute SD","Mean","SD","95% CI","P-value","95% CI","P-value"
"2","Ln Ã<U+008E>Â<U+0094>IL-1Ã<U+008E>Â²/IL-10"," "," "," "," "," "," "," "," "," "
"3","Control","216","0.02","0.26","0.35","1.08"," "," "," "," "
"4","Nutrition + WSH","261","0.05","0.4","0.21","1.37","-0.14 (-0.39, 0.11)","0.52","-0.15 (-0.41, 0.12)","0.55"
"5","Ln Ã<U+008E>Â<U+0094>IL-6/IL-10"," "," "," "," "," "," "," "," "," "
"6","Control","216","0.12","1.15","0.24","1.04"," "," "," "," "
"7","Nutrition + WSH","264","0.13","1.99","-0.02","1.32","-0.27 (-0.51, -0.03)","0.05","-0.2 (-0.48, 0.07)","0.3"
"8","Ln Ã<U+008E>Â<U+0094>TNF-Ã<U+008E>Â±/IL-10"," "," "," "," "," "," "," "," "," "
"9","Control","216","-0.37","3.57","-0.14","0.86"," "," "," "," "
"10","Nutrition + WSH","265","0.3","2.76","0.03","0.93","0.17 (-0.02, 0.36)","0.14","0.1 (-0.08, 0.28)","0.57"
"11","Ln Ã<U+008E>Â<U+0094>IL-12/IL-10"," "," "," "," "," "," "," "," "," "
"12","Control","216","0","0.78","0.12","0.84"," "," "," "," "
"13","Nutrition + WSH","264","0.1","0.48","0.22","0.88","0.11 (-0.09, 0.31)","0.59","0.12 (-0.07, 0.31)","0.45"
"14","Ln Ã<U+008E>Â<U+0094>IFN-Ã<U+008E>Â³/IL-10"," "," "," "," "," "," "," "," "," "
"15","Control","216","0.02","2.41","0.16","0.85"," "," "," "," "
"16","Nutrition + WSH","265","0.23","1.17","0.16","0.75","0 (-0.18, 0.18)","1","-0.02 (-0.2, 0.17)","1"
"17","Ln Ã<U+008E>Â<U+0094>IL-4/IL-10"," "," "," "," "," "," "," "," "," "
"18","Control","216","-0.27","23.79","0.23","0.87"," "," "," "," "
"19","Nutrition + WSH","264","0.69","18.13","0.05","0.94","-0.18 (-0.39, 0.03)","0.18","-0.16 (-0.38, 0.06)","0.32"
"20","Ln Ã<U+008E>Â<U+0094>IL-5/IL-10"," "," "," "," "," "," "," "," "," "
"21","Control","216","-0.04","0.83","0.12","0.93"," "," "," "," "
"22","Nutrition + WSH","265","0.11","1.24","0.05","1.04","-0.07 (-0.26, 0.13)","1","-0.15 (-0.32, 0.02)","0.18"
"23","Ln Ã<U+008E>Â<U+0094>IL-13/IL-10"," "," "," "," "," "," "," "," "," "
"24","Control","215","0.26","2.8","0.21","1.18"," "," "," "," "
"25","Nutrition + WSH","263","0.03","2.25","-0.04","1.24","-0.25 (-0.53, 0.04)","0.17","-0.22 (-0.5, 0.05)","0.22"
"26","Ln Ã<U+008E>Â<U+0094>IL-17A/IL-10"," "," "," "," "," "," "," "," "," "
"27","Control","216","-0.15","2.32","0.05","0.9"," "," "," "," "
"28","Nutrition + WSH","265","0.23","1.17","0.2","0.86","0.16 (-0.04, 0.35)","0.23","0.16 (-0.05, 0.37)","0.29"
"29","Ln Ã<U+008E>Â<U+0094>IL-21/IL-10"," "," "," "," "," "," "," "," "," "
"30","Control","208","0.04","0.88","0.26","1.41"," "," "," "," "
"31","Nutrition + WSH","257","0.14","1.31","0.06","1.49","-0.2 (-0.5, 0.11)","0.41","-0.08 (-0.39, 0.22)","1"
"32","Ln Ã<U+008E>Â<U+0094>IL-2/IL-10"," "," "," "," "," "," "," "," "," "
"33","Control","214","0.02","0.66","0.37","1.4"," "," "," "," "
"34","Nutrition + WSH","254","0.2","3.49","0.25","1.66","-0.12 (-0.47, 0.23)","1","-0.1 (-0.45, 0.25)","1"
"35","Ln Ã<U+008E>Â<U+0094>GM-CSF/IL-10"," "," "," "," "," "," "," "," "," "
"36","Control","216","5.26","47.93","0.65","1.08"," "," "," "," "
"37","Nutrition + WSH","265","15.22","39.79","0.9","1.37","0.25 (0.04, 0.46)","0.04","0.08 (-0.13, 0.3)","0.88"
"38","Ln Ã<U+008E>Â<U+0094>IL-12/IL-4"," "," "," "," "," "," "," "," "," "
"39","Control","218","0","0.03","-0.09","0.71"," "," "," "," "
"40","Nutrition + WSH","266","0.01","0.03","0.17","0.82","0.26 (0.09, 0.44)","0.01","0.29 (0.11, 0.47)","0"
"41","Ln Ã<U+008E>Â<U+0094>IFN-Ã<U+008E>Â³/IL-4"," "," "," "," "," "," "," "," "," "
"42","Control","218","0","0.13","-0.06","0.7"," "," "," "," "
"43","Nutrition + WSH","267","0.02","0.11","0.11","0.71","0.17 (0.01, 0.32)","0.07","0.16 (0, 0.32)","0.09"
"44","Ln Ã<U+008E>Â<U+0094>IL-12/IL-5"," "," "," "," "," "," "," "," "," "
"45","Control","218","0.31","3.52","0.02","0.84"," "," "," "," "
"46","Nutrition + WSH","267","0.56","3.75","0.16","1.13","0.15 (-0.05, 0.35)","0.29","0.22 (0.04, 0.4)","0.04"
"47","Ln Ã<U+008E>Â<U+0094>IFN-Ã<U+008E>Â³/IL-5"," "," "," "," "," "," "," "," "," "
