""," ","Female"," "," "," "," ","Male"," "," "," "," ","P-value for interaction"
"1","Outcome","N","Mean","SD","Unadjusted difference: Intervention vs.Control (95% CI)","P-value","N","Mean","SD","Unadjusted difference:Intervention vs.Control (95% CI)","P-value",""
"2","Ln IL-1b/IL-10","","","","","","","","","","",""
"3","Control","158","-2.13","0.82","","","154","-2.15","0.89","","",""
"4","Nutrition + WSH","189","-2.36","1.04","-0.23 (-0.5, 0.04)","0.09","172","-2.32","1.08","-0.17 (-0.43, 0.09)","0.21","0.67"
"5","Ln IL-6/IL-10","","","","","","","","","","",""
"6","Control","158","-1.35","0.82","","","154","-1.17","0.81","","",""
"7","Nutrition + WSH","190","-1.64","0.98","-0.29 (-0.53, -0.05)","0.02","172","-1.42","1.07","-0.25 (-0.5, 0)","0.05","0.78"
"8","Ln TNF-a/IL-10","","","","","","","","","","",""
"9","Control","158","-0.58","0.58","","","154","-0.49","0.72","","",""
"10","Nutrition + WSH","190","-0.64","0.69","-0.05 (-0.21, 0.1)","0.48","173","-0.43","0.84","0.05 (-0.13, 0.24)","0.57","0.41"
"11","Ln IL-12/IL-10","","","","","","","","","","",""
"12","Control","158","-1.12","0.51","","","154","-1.15","0.65","","",""
"13","Nutrition + WSH","190","-1.33","0.59","-0.21 (-0.34, -0.09)","0","173","-1.17","0.71","-0.02 (-0.16, 0.12)","0.8","0.03"
"14","Ln IFN-y/IL-10","","","","","","","","","","",""
"15","Control","158","-0.02","0.5","","","154","0","0.63","","",""
"16","Nutrition + WSH","190","-0.24","0.57","-0.22 (-0.34, -0.1)","0","173","-0.1","0.66","-0.1 (-0.25, 0.05)","0.19","0.21"
"17","Ln IL-4/IL-10","","","","","","","","","","",""
"18","Control","158","1.83","0.65","","","154","1.93","0.63","","",""
"19","Nutrition + WSH","190","1.61","0.69","-0.22 (-0.37, -0.06)","0.01","173","1.7","0.74","-0.23 (-0.41, -0.05)","0.01","0.94"
"20","Ln IL-5/IL-10","","","","","","","","","","",""
"21","Control","158","-1.72","0.69","","","154","-1.54","0.87","","",""
"22","Nutrition + WSH","190","-1.71","0.77","0.01 (-0.16, 0.17)","0.94","173","-1.66","0.91","-0.11 (-0.32, 0.1)","0.3","0.36"
"23","Ln IL-13/IL-10","","","","","","","","","","",""
"24","Control","158","-0.42","0.97","","","153","-0.46","1.11","","",""
"25","Nutrition + WSH","189","-0.62","0.9","-0.2 (-0.44, 0.04)","0.1","173","-0.69","1.05","-0.23 (-0.56, 0.1)","0.17","0.87"
"26","Ln IL-17A/IL-10","","","","","","","","","","",""
"27","Control","158","-0.63","0.6","","","154","-0.51","0.61","","",""
"28","Nutrition + WSH","190","-0.67","0.69","-0.04 (-0.18, 0.1)","0.56","173","-0.62","0.69","-0.11 (-0.27, 0.04)","0.15","0.46"
"29","Ln IL-21/IL-10","","","","","","","","","","",""
"30","Control","155","-1.7","1.04","","","152","-1.6","1.09","","",""
"31","Nutrition + WSH","186","-1.87","1.11","-0.18 (-0.43, 0.08)","0.17","172","-1.79","1.32","-0.19 (-0.49, 0.11)","0.21","0.94"
"32","Ln IL-2/IL-10","","","","","","","","","","",""
"33","Control","156","-2.33","1.02","","","153","-2.18","1.16","","",""
"34","Nutrition + WSH","188","-2.49","1.28","-0.16 (-0.47, 0.14)","0.3","169","-2.38","1.43","-0.2 (-0.56, 0.15)","0.26","0.85"
"35","Ln GM-CSF/IL-10","","","","","","","","","","",""
"36","Control","158","2.5","0.92","","","154","2.56","0.91","","",""
"37","Nutrition + WSH","190","2.53","0.97","0.03 (-0.19, 0.25)","0.78","173","2.57","1.08","0 (-0.22, 0.23)","0.97","0.83"
"38","Ln IL-12/IL-4","","","","","","","","","","",""
"39","Control","159","-2.94","0.5","","","154","-3.07","0.54","","",""
"40","Nutrition + WSH","190","-2.94","0.6","0.01 (-0.12, 0.14)","0.91","177","-2.88","0.53","0.19 (0.04, 0.34)","0.01","0.03"
"41","Ln IFN-y/IL-4","","","","","","","","","","",""
"42","Control","159","-1.85","0.53","","","154","-1.93","0.63","","",""
"43","Nutrition + WSH","190","-1.85","0.61","0 (-0.13, 0.13)","0.98","177","-1.81","0.44","0.12 (-0.01, 0.25)","0.08","0.15"
"44","Ln IL-12/IL-5","","","","","","","","","","",""
"45","Control","159","0.6","0.65","","","154","0.4","0.97","","",""
"46","Nutrition + WSH","190","0.38","0.76","-0.22 (-0.4, -0.04)","0.02","177","0.48","0.86","0.08 (-0.12, 0.29)","0.42","0.01"
"47","Ln IFN-y/IL-5","","","","","","","","","","",""
"48","Control","159","1.69","0.66","","","154","1.54","1.02","","",""
"49","Nutrition + WSH","190","1.47","0.74","-0.22 (-0.39, -0.06)","0.01","177","1.56","0.82","0.01 (-0.2, 0.23)","0.9","0.04"
"50","Ln IL-12/IL-13","","","","","","","","","","",""
"51","Control","158","-0.69","0.83","","","153","-0.7","1.03","","",""
"52","Nutrition + WSH","189","-0.7","0.79","-0.01 (-0.2, 0.18)","0.92","177","-0.51","1.03","0.18 (-0.09, 0.46)","0.19","0.14"
"53","Ln IFN-y/IL-13","","","","","","","","","","",""
"54","Control","158","0.4","0.82","","","153","0.45","1.01","","",""
"55","Nutrition + WSH","189","0.38","0.83","-0.02 (-0.22, 0.18)","0.88","177","0.56","0.95","0.11 (-0.17, 0.39)","0.44","0.36"
"56","Ln IL-12/IL-17A","","","","","","","","","","",""
"57","Control","159","-0.49","0.55","","","154","-0.64","0.65","","",""
"58","Nutrition + WSH","190","-0.66","0.54","-0.17 (-0.3, -0.04)","0.01","177","-0.56","0.46","0.08 (-0.05, 0.2)","0.22","0"
"59","Ln IFN-y/IL-17A","","","","","","","","","","",""
"60","Control","159","0.6","0.47","","","154","0.51","0.67","","",""
"61","Nutrition + WSH","190","0.42","0.62","-0.18 (-0.31, -0.04)","0.01","177","0.52","0.43","0.01 (-0.12, 0.13)","0.92","0.02"
"62","Ln IL-12/IL-21","","","","","","","","","","",""
"63","Control","156","0.59","0.97","","","152","0.45","1.03","","",""
"64","Nutrition + WSH","186","0.55","1.13","-0.04 (-0.31, 0.22)","0.74","176","0.6","1.15","0.15 (-0.15, 0.44)","0.34","0.23"
"65","Ln IFN-y/IL-21","","","","","","","","","","",""
"66","Control","156","1.68","1.02","","","152","1.59","1.08","","",""
"67","Nutrition + WSH","186","1.64","1.09","-0.04 (-0.31, 0.23)","0.78","176","1.68","1.1","0.08 (-0.22, 0.38)","0.6","0.47"
"68","Ln Pro-inflammatory cytokines/IL-10","","","","","","","","","","",""
"69","Control","158","1.83","0.59","","","154","1.95","0.55","","",""
"70","Nutrition + WSH","189","1.71","0.65","-0.12 (-0.28, 0.05)","0.16","171","1.89","0.74","-0.06 (-0.2, 0.08)","0.4","0.57"
"71","Ln Th1/IL-10","","","","","","","","","","",""
"72","Control","158","1.55","0.44","","","154","1.56","0.54","","",""
"73","Nutrition + WSH","190","1.34","0.54","-0.21 (-0.32, -0.1)","0","173","1.49","0.65","-0.07 (-0.19, 0.06)","0.29","0.09"
"74","Ln Th2/IL-10","","","","","","","","","","",""
"75","Control","158","1.47","0.6","","","153","1.63","0.6","","",""
