""," "," "," "," "," "," ","Unadjusted difference: Intervention vs. Control"," ","Age- and sex- adjusted difference: Intervention vs. Control"," ","Fully adjusted difference: Intervention vs. Control"," ","IPCW adjusted difference: Intervention vs. Control"," "
"1","Outcome, Arm","N","Absolute Mean","Absolute SD","Mean","SD","95% CI","P-value","95% CI","P-value","95% CI","P-value","95% CI","P-value"
"2","Ln Î<U+0094>IL-1Ã<U+008E>Â² (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"3","Control","218","0.11","0.82","0.13","1.22"," "," "," "," "," "," "," "," "
"4","Nutrition + WSH","264","-0.05","1.03","-0.03","1.41","-0.15 (-0.46, 0.15)","0.66","-0.09 (-0.38, 0.2)","1","-0.08 (-0.38, 0.22)","1","-0.11 (-0.41, 0.2)","0.98"
"5","Ln Î<U+0094>IL-6 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","Control","218","0.28","2.85","0.02","0.92"," "," "," "," "," "," "," "," "
"7","Nutrition + WSH","267","-0.58","2.65","-0.29","1.18","-0.31 (-0.54, -0.08)","0.02","-0.26 (-0.51, -0.01)","0.08","-0.24 (-0.48, 0)","0.1","-0.21 (-0.48, 0.06)","0.26"
"8","Ln Î<U+0094>TNF-Ã<U+008E>Â± (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"9","Control","218","-2.11","3.61","-0.36","0.63"," "," "," "," "," "," "," "," "
"10","Nutrition + WSH","268","-1.77","4.44","-0.24","0.74","0.13 (-0.06, 0.31)","0.36","0.11 (-0.09, 0.31)","0.56","0.11 (-0.08, 0.31)","0.52","0.12 (-0.07, 0.32)","0.43"
"11","Ln Î<U+0094>IL-12 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"12","Control","218","-0.15","1.53","-0.09","0.76"," "," "," "," "," "," "," "," "
"13","Nutrition + WSH","267","-0.21","1.58","-0.05","0.84","0.04 (-0.16, 0.24)","1","0.05 (-0.15, 0.25)","1","0.07 (-0.12, 0.25)","0.95","-0.01 (-0.25, 0.23)","1"
"14","Ln Î<U+0094>IFN-Ã<U+008E>Â³ (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"15","Control","218","0.12","5.17","-0.06","0.66"," "," "," "," "," "," "," "," "
"16","Nutrition + WSH","268","-1.03","5.52","-0.11","0.7","-0.06 (-0.23, 0.12)","1","-0.05 (-0.22, 0.13)","1","-0.02 (-0.2, 0.17)","1","-0.01 (-0.29, 0.26)","1"
"17","Ln Î<U+0094>IL-4 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"18","Control","218","1.74","45.37","0","0.7"," "," "," "," "," "," "," "," "
"19","Nutrition + WSH","267","-12.57","67.79","-0.22","0.82","-0.22 (-0.42, -0.03)","0.05","-0.21 (-0.42, 0)","0.09","-0.17 (-0.37, 0.04)","0.22","-0.25 (-0.49, 0)","0.1"
"20","Ln Î<U+0094>IL-5 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"21","Control","218","-0.15","1.44","-0.11","0.76"," "," "," "," "," "," "," "," "
"22","Nutrition + WSH","268","-0.42","1.89","-0.22","0.79","-0.11 (-0.27, 0.05)","0.32","-0.11 (-0.26, 0.05)","0.38","-0.14 (-0.3, 0.02)","0.19","-0.16 (-0.39, 0.06)","0.29"
"23","Ln Î<U+0094>IL-13 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"24","Control","216","2.05","16.95","-0.01","1.2"," "," "," "," "," "," "," "," "
"25","Nutrition + WSH","266","-2.84","12.24","-0.32","1.28","-0.31 (-0.64, 0.02)","0.13","-0.3 (-0.62, 0.03)","0.15","-0.25 (-0.57, 0.08)","0.28","-0.23 (-0.64, 0.17)","0.5"
"26","Ln Î<U+0094>IL-17A (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"27","Control","218","-0.95","5.03","-0.17","0.74"," "," "," "," "," "," "," "," "
"28","Nutrition + WSH","268","-0.45","4.33","-0.05","0.81","0.12 (-0.1, 0.34)","0.59","0.13 (-0.09, 0.35)","0.49","0.16 (-0.06, 0.38)","0.29","0.09 (-0.13, 0.31)","0.82"
"29","Ln Î<U+0094>IL-21 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"30","Control","210","-0.04","1.72","0.01","1.16"," "," "," "," "," "," "," "," "
"31","Nutrition + WSH","260","-0.29","2.16","-0.23","1.24","-0.24 (-0.5, 0.02)","0.13","-0.24 (-0.5, 0.02)","0.15","-0.11 (-0.36, 0.15)","0.83","-0.1 (-0.37, 0.17)","0.91"
"32","Ln Î<U+0094>IL-10 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"33","Control","216","-2.16","7.52","-0.22","0.83"," "," "," "," "," "," "," "," "
